# suite	byond-canonical-del
# byond_version	516
# byond_build	1666
# system	windows
# runner_priority	High
# clock	tick_usage
# source_commit	eeadc70
# merged_runs	3
# merged_from	E1666_1\results-516.1666-windows-del.tsv E1666_2\results-516.1666-windows-del.tsv E1666_3\results-516.1666-windows-del.tsv
kind	id	category	name	value	unit	expected	status	res	notes
MEASURE	framework.empty_loop	framework	empty loop iteration	0.08	us				n=3 min=0.07 max=0.08 spread=12%
MEASURE	framework.bare_loop	framework	loop iteration, no accumulator	0.03	us				WIDE_SPREAD; n=3 min=0.03 max=0.04 spread=33%
ASSERT	framework.discarded_work_still_costs	framework	an expression whose result is unused is still executed	1		1	PASS		n=3 PASS/PASS/PASS; bare loop 1 ds, discarded istype 6 ds over 4000000
MEASURE	del.drop_control_1ref	del	allocate, build 1 heap ref, drop both, no del()	1.09	us				n=3 min=1.07 max=1.23 spread=15%
ASSERT	del.zero_refs_is_free	del	del() is free when only a local points at the victim	1		1	PASS		n=3 PASS/PASS/PASS; 0.09 us
ASSERT	del.one_ref_costs	del	a single heap reference makes del() cost real time	1		1	PASS		n=3 PASS/PASS/PASS; 9.67 us
ASSERT	del.refcount_does_not_scale	del	256 references cost far less than 256x one	1		1	PASS		n=3 PASS/PASS/PASS; 1 ref 9.67 us, 256 refs 12.45 us
MEASURE	del.refs_0	del	del cost, 0 heap refs	0.03	us				LOW_RESOLUTION; WIDE_SPREAD; n=3 min=0.03 max=0.09 spread=200%
MEASURE	del.refs_1	del	del cost, 1 heap ref	9.71	us				n=3 min=9.67 max=11.3 spread=17%
MEASURE	del.refs_256	del	del cost, 256 heap refs	10.1	us				WIDE_SPREAD; n=3 min=9.41 max=12.4 spread=30%
ASSERT	del.accounted_ref_is_free	del	del through the ref's own list slot skips the scan	1		1	PASS		n=3 PASS/PASS/PASS; 0.2 us via del(H[1]) vs 9.67 us with an unaccounted ref
MEASURE	del.ref_via_index	del	del cost, sole ref indexed by the del expression	0.22	us				WIDE_SPREAD; n=3 min=0.2 max=0.41 spread=95%
MEASURE	del.turfs_10k	del	del cost at 10k turfs	11.4	us				n=3 min=10.9 max=12 spread=10%
MEASURE	del.turfs_48k	del	del cost at 48k turfs	10.6	us				n=3 min=10.1 max=10.8 spread=7%
ASSERT	del.turfs_not_counted	del	map size does not affect del() cost	1		1	PASS		n=3 PASS/PASS/PASS; 11.41 us at 10k turfs, 10.82 us at 48k turfs
MEASURE	del.before_churn	del	del cost before 500k churn	11.7	us				n=3 min=10.6 max=12 spread=12%
MEASURE	del.after_churn	del	del cost after 500k churn	11.7	us				n=3 min=11.4 max=12.1 spread=6%
ASSERT	del.cumulative_alloc_irrelevant	del	allocating and freeing 500k objects does not change del() cost	1		1	PASS		n=3 PASS/PASS/PASS; 11.69 us before, 12.06 us after
MEASURE	del.live_0	del	del cost at 0 live objs	10.9	us				n=3 min=10.6 max=11.7 spread=10%
MEASURE	del.live_50000	del	del cost at 50000 live objs	130.7	us				n=3 min=121.8 max=144.3 spread=17%
MEASURE	del.live_100000	del	del cost at 100000 live objs	240.3	us				WIDE_SPREAD; n=3 min=215.6 max=364.9 spread=62%
MEASURE	del.live_200000	del	del cost at 200000 live objs	2135.2	us				n=3 min=2125.3 max=2495.1 spread=17%
ASSERT	del.live_count_drives_cost	del	del() cost rises sharply with live object count	1		1	PASS		n=3 PASS/PASS/PASS; 11.73 us cold vs 2135.2 us at 200k live
MEASURE	del.live_300000	del	del cost at 300000 live objs	3982.2	us				n=3 min=3530.3 max=4059.4 spread=13%
ASSERT	del.population_sweep_monotonic	del	del() cost rises at every step of the population sweep	1		1	PASS		n=3 PASS/PASS/PASS; 0:11.73 50k:121.79 100k:215.63 200k:2135.2 300k:3982.24 us
ASSERT	del.peak_leaves_residual	del	freeing the population does not restore the cold cost	1		1	PASS		n=3 PASS/PASS/PASS; 11.73 us cold, 224.64 us after 300k existed and were freed
MEASURE	del.residual_after_peak	del	del cost after peak population freed	229.5	us				n=3 min=224.6 max=258.5 spread=15%

# passed	10
# failed	0
# unstable	0
# measured	17
# wide_spread	5
# result	PASS
