# suite	byond-canonical
# byond_version	516
# byond_build	1666
# system	windows
# tick_lag	0.5
# min_ds	15
kind	id	category	name	value	unit	expected	status	dt_ds	notes
MEASURE	framework.empty_loop	framework	empty loop iteration	0.06	us			32	baseline, subtracted from sub-microsecond rows
# baseline_us	0.06
ASSERT	lifetime.refcount_collects	lifetime	unreferenced object is collected	0		0	PASS		created 1, dropped the only ref
ASSERT	lifetime.cycle_not_collected	lifetime	loc/contents cycle is never collected	0		0	PASS		500 host+child pairs, all refs dropped, none freed
ASSERT	lifetime.cycle_broken_collects	lifetime	clearing contents first allows collection	1		1	PASS		500 pairs, freed 499; the last iteration's local may still be scoped
ASSERT	lifetime.del_src_aborts_proc	lifetime	del(src) aborts the calling proc	0		0	PASS		the line after del(src) must not execute
ASSERT	lifetime.del_nulls_caller_ref	lifetime	del(src) nulls the caller's local	NULL		NULL	PASS		
ASSERT	lifetime.src_never_null_in_proc	lifetime	if(!src) never passes inside a live proc	1		1	PASS		guarded del must not fire; proc runs to completion
ASSERT	lifetime.spawn_pins_object	lifetime	object survives while a spawn is pending	1		1	PASS		only ref dropped, spawn still queued
ASSERT	lifetime.spawn_sees_live_src	lifetime	pending spawn wakes with src alive	ALIVE		ALIVE	PASS		
ASSERT	lifetime.collected_after_spawn	lifetime	object is collected once the spawn resolves	0		0	PASS		collected 0 ticks after the spawn fired
SECTION	lifetime			3	s				
ASSERT	numeric.eq_at_2p24	numeric	16777216 == 16777217	1		1	PASS		16777217 is not representable and rounds down
ASSERT	numeric.increment_stalls	numeric	n+1 == n first holds at 2^24	16777216		16777216	PASS		
ASSERT	numeric.loop_nonterminating	numeric	for-loop past 2^24 does not terminate	1		1	PASS		bailed via guard at i=16777216
ASSERT	numeric.loop_control_terminates	numeric	same loop below 2^24 terminates normally	21		21	PASS		control for the above
ASSERT	numeric.accumulator_saturates	numeric	accumulator saturates at 2^24	16777216		16777216	PASS		expected 18000000, lost 1222784, no error raised
ASSERT	numeric.shift_23_ok	numeric	1 << 23	8388608		8388608	PASS		highest usable bit
ASSERT	numeric.shift_24_zero	numeric	1 << 24	0		0	PASS		mask becomes zero, not a large number
ASSERT	numeric.shift_30_zero	numeric	1 << 30	0		0	PASS		
ASSERT	numeric.shift_32_wraps	numeric	1 << 32	1		1	PASS		shift count wraps
ASSERT	numeric.bitfield_23_survives	numeric	flag at bit 23 round-trips	1		1	PASS		
ASSERT	numeric.bitfield_24_lost	numeric	flag at bit 24 is silently lost	0		0	PASS		zero mask: setting stores nothing, testing reads false
SECTION	numeric			0.1	s				
ASSERT	scheduler.world_tick_is_hook	scheduler	world/Tick() fires once per tick	1		1	PASS		fired 10 times over ~10 ticks
ASSERT	scheduler.wake_before_world_tick	scheduler	waking procs run before world.Tick()	1		1	PASS		wake seq 1, Tick seq 2
ASSERT	scheduler.spawn0_same_tick	scheduler	spawn(0) runs in the same tick	1		1	PASS		before 39, inside 39
ASSERT	scheduler.spawn_context_is_copy	scheduler	spawned block cannot write to the caller's locals	-1		-1	PASS		99 would mean the context is shared, not copied
MEASURE	scheduler.parked_0	scheduler	100 ticks with 0 parked procs	50000	us			50	ideal 50 ds, overhead 0 ds
MEASURE	scheduler.parked_10000	scheduler	100 ticks with 10000 parked procs	50000	us			50	ideal 50 ds, overhead 0 ds
MEASURE	scheduler.parked_100000	scheduler	100 ticks with 100000 parked procs	50000	us			50	ideal 50 ds, overhead 0 ds
MEASURE	scheduler.waking_1000	scheduler	100 ticks with 1000 procs waking each tick	50000	us			50	ideal 50 ds, overhead 0 ds
MEASURE	scheduler.waking_5000	scheduler	100 ticks with 5000 procs waking each tick	50000	us			50	ideal 50 ds, overhead 0 ds
SECTION	scheduler			39.8	s				
ASSERT	view.filter_equivalence	view	cached-then-filtered and inline-typed return identical counts	1		1	PASS		41 vs 41 mobs; without this the timing comparison is void
MEASURE	view.build_only	view	var/list/V = view(7,c)	250	us			20	667 atoms
MEASURE	view.build_then_filter	view	cache list, then for(mob in V)	262.5	us			21	41 mobs
MEASURE	view.inline_typed	view	for(mob in view(7,c))	29.1	us			32	41 mobs
MEASURE	view.inline_untyped	view	for(atom in view(7,c))	366.7	us			22	667 atoms
