# suite	byond-canonical-del
# byond_version	516
# byond_build	1685
# result_file	results-516.1685-windows-del.tsv
# system	windows
# tick_lag	0.5
# min_ds	15
# min_pct	20
kind	id	category	name	value	unit	expected	status	res	notes
# clock	tick_usage
# us_per_pct_measured	499.99
# us_per_pct_predicted	500
# clock_calibration_ds	50.3906
# clock_calibration_pct	10078.3
MEASURE	framework.empty_loop	framework	empty loop iteration	0.07	us			34.6562	baseline, subtracted from sub-microsecond rows
# baseline_us	0.07
ASSERT	del.zero_refs_is_free	del	del() is free when only a local points at the victim	1		1	PASS		0.12 us
ASSERT	del.one_ref_costs	del	a single heap reference makes del() cost real time	1		1	PASS		9.42 us
ASSERT	del.refcount_does_not_scale	del	256 references cost no more than 1	0		1	FAIL		1 ref 9.42 us, 256 refs 14.16 us
MEASURE	del.refs_0	del	del cost, 0 heap refs	0.12	us			14.79	LOW_RESOLUTION; arms 128.77/113.98 pct
MEASURE	del.refs_1	del	del cost, 1 heap ref	9.42	us			1130.92	arms 1273.36/142.44 pct
MEASURE	del.refs_256	del	del cost, 256 heap refs	14.2	us			566.22	arms 1967.27/1401.05 pct
MEASURE	del.turfs_10k	del	del cost at 10k turfs	9.81	us			784.95	arms 860.58/75.63 pct
MEASURE	del.turfs_48k	del	del cost at 48k turfs	11.1	us			887.86	arms 973.86/86 pct
ASSERT	del.turfs_not_counted	del	map size does not affect del() cost	1		1	PASS		9.81 us at 10k turfs, 11.1 us at 48k turfs
MEASURE	del.before_churn	del	del cost before 500k churn	9.58	us			766.56	arms 838.3/71.75 pct
MEASURE	del.after_churn	del	del cost after 500k churn	9.87	us			789.81	arms 862.44/72.63 pct
ASSERT	del.cumulative_alloc_irrelevant	del	allocating and freeing 500k objects does not change del() cost	1		1	PASS		9.58 us before, 9.87 us after
MEASURE	del.live_0	del	del cost at 0 live objs	11.4	us			909.91	arms 1002.88/92.97 pct
MEASURE	del.live_50000	del	del cost at 50000 live objs	76.1	us			913.01	arms 923.81/10.81 pct
MEASURE	del.live_100000	del	del cost at 100000 live objs	209.6	us			2514.75	arms 2525.43/10.69 pct
MEASURE	del.live_200000	del	del cost at 200000 live objs	2467.5	us			7402.8	arms 7405.49/2.69 pct
ASSERT	del.live_count_drives_cost	del	del() cost rises sharply with live object count	1		1	PASS		11.37 us cold vs 2467.55 us at 200k live
ASSERT	del.peak_leaves_residual	del	freeing the population does not restore the cold cost	1		1	PASS		11.37 us cold, 149.88 us after 200k existed and were freed
MEASURE	del.residual_after_peak	del	del cost after peak population freed	149.9	us			5995.32	arms 6031.2/35.88 pct

# passed	6
# failed	1
# measured	13
# low_resolution	1
# result	FAIL
