# suite	byond-canonical-del
# byond_version	516
# byond_build	1685
# system	windows
# runner_priority	High
# merged_runs	3
# merged_from	v3_d85_1\results-516.1685-windows-del.tsv v3_d85_2\results-516.1685-windows-del.tsv v3_d85_3\results-516.1685-windows-del.tsv
kind	id	category	name	value	unit	expected	status	res	notes
MEASURE	framework.empty_loop	framework	empty loop iteration	0.08	us				n=3 min=0.07 max=0.08 spread=12%
MEASURE	framework.bare_loop	framework	loop iteration, no accumulator	0.03	us				n=3 min=0.03 max=0.03 spread=0%
ASSERT	framework.discarded_work_still_costs	framework	an expression whose result is unused is still executed	1		1	PASS		n=3 PASS/PASS/PASS; bare loop 1.19922 ds, discarded istype 5.90234 ds over 4000000
ASSERT	del.zero_refs_is_free	del	del() is free when only a local points at the victim	1		1	PASS		n=3 PASS/PASS/PASS; 0 us
ASSERT	del.one_ref_costs	del	a single heap reference makes del() cost real time	1		1	PASS		n=3 PASS/PASS/PASS; 10.37 us
ASSERT	del.refcount_does_not_scale	del	256 references cost far less than 256x one	1		1	PASS		n=3 PASS/PASS/PASS; 1 ref 10.37 us, 256 refs 10.51 us
MEASURE	del.refs_0	del	del cost, 0 heap refs	0.03	us				LOW_RESOLUTION; WIDE_SPREAD; n=3 min=0 max=0.12 spread=400%
MEASURE	del.refs_1	del	del cost, 1 heap ref	10.4	us				n=3 min=10.1 max=10.6 spread=5%
MEASURE	del.refs_256	del	del cost, 256 heap refs	12.3	us				WIDE_SPREAD; n=3 min=10.5 max=16.7 spread=50%
ASSERT	del.accounted_ref_is_free	del	del through the ref's own list slot skips the scan	1		1	PASS		n=3 PASS/PASS/PASS; 0.26 us via del(H[1]) vs 10.37 us with an unaccounted ref
MEASURE	del.ref_via_index	del	del cost, sole ref indexed by the del expression	0.22	us				WIDE_SPREAD; n=3 min=0.17 max=0.26 spread=41%
MEASURE	del.turfs_10k	del	del cost at 10k turfs	11.7	us				n=3 min=11 max=12.2 spread=10%
MEASURE	del.turfs_48k	del	del cost at 48k turfs	10.3	us				n=3 min=10.3 max=10.7 spread=4%
ASSERT	del.turfs_not_counted	del	map size does not affect del() cost	1		1	PASS		n=3 PASS/PASS/PASS; 12.18 us at 10k turfs, 10.25 us at 48k turfs
MEASURE	del.before_churn	del	del cost before 500k churn	10.5	us				n=3 min=10.2 max=11.3 spread=10%
MEASURE	del.after_churn	del	del cost after 500k churn	11.3	us				n=3 min=11.1 max=11.6 spread=4%
ASSERT	del.cumulative_alloc_irrelevant	del	allocating and freeing 500k objects does not change del() cost	1		1	PASS		n=3 PASS/PASS/PASS; 10.51 us before, 11.09 us after
MEASURE	del.live_0	del	del cost at 0 live objs	11	us				n=3 min=9.79 max=11.9 spread=19%
MEASURE	del.live_50000	del	del cost at 50000 live objs	115.4	us				n=3 min=111.7 max=120.7 spread=8%
MEASURE	del.live_100000	del	del cost at 100000 live objs	237.1	us				WIDE_SPREAD; n=3 min=207.8 max=290.9 spread=35%
MEASURE	del.live_200000	del	del cost at 200000 live objs	2162.2	us				n=3 min=2142.1 max=2474.3 spread=15%
ASSERT	del.live_count_drives_cost	del	del() cost rises sharply with live object count	1		1	PASS		n=3 PASS/PASS/PASS; 11 us cold vs 2162.23 us at 200k live
MEASURE	del.live_300000	del	del cost at 300000 live objs	3763.4	us				n=3 min=3492.2 max=3913.6 spread=11%
ASSERT	del.population_sweep_monotonic	del	del() cost rises at every step of the population sweep	1		1	PASS		n=3 PASS/PASS/PASS; 0:11 50k:120.67 100k:207.78 200k:2162.23 300k:3913.64 us
ASSERT	del.peak_leaves_residual	del	freeing the population does not restore the cold cost	1		1	PASS		n=3 PASS/PASS/PASS; 11 us cold, 229.9 us after 300k existed and were freed
MEASURE	del.residual_after_peak	del	del cost after peak population freed	229.2	us				n=3 min=206.2 max=229.9 spread=10%

# passed	10
# failed	0
# unstable	0
# measured	16
# wide_spread	4
# result	PASS
