# suite	byond-canonical
# byond_version	516
# byond_build	1685
# system	windows
# runner_priority	High
# clock	tick_usage
# source_commit	bf9dc55
# merged_runs	3
# merged_from	S1685_1\results-516.1685-windows.tsv S1685_2\results-516.1685-windows.tsv S1685_3\results-516.1685-windows.tsv
kind	id	category	name	value	unit	expected	status	res	notes
MEASURE	framework.empty_loop	framework	empty loop iteration	0.08	us				n=3 min=0.07 max=0.08 spread=12%
MEASURE	framework.bare_loop	framework	loop iteration, no accumulator	0.03	us				n=3 min=0.03 max=0.03 spread=0%
ASSERT	framework.discarded_work_still_costs	framework	an expression whose result is unused is still executed	1		1	PASS		n=3 PASS/PASS/PASS; bare loop 1.32031 ds, discarded istype 5.39844 ds over 4000000
ASSERT	lifetime.refcount_collects	lifetime	unreferenced object is collected	0		0	PASS		n=3 PASS/PASS/PASS; created 1, dropped the only ref
ASSERT	lifetime.cycle_not_collected	lifetime	loc/contents cycle is never collected	0		0	PASS		n=3 PASS/PASS/PASS; 500 host+child pairs, all refs dropped, none freed
ASSERT	lifetime.cycle_broken_collects	lifetime	clearing contents first allows collection	1		1	PASS		n=3 PASS/PASS/PASS; 500 pairs, freed 499; the last iteration's local may still be scoped
ASSERT	lifetime.del_src_aborts_proc	lifetime	del(src) aborts the calling proc	0		0	PASS		n=3 PASS/PASS/PASS; the line after del(src) must not execute
ASSERT	lifetime.del_nulls_caller_ref	lifetime	del(src) nulls the caller's local	NULL		NULL	PASS		n=3 PASS/PASS/PASS
ASSERT	lifetime.src_never_null_in_proc	lifetime	if(!src) never passes inside a live proc	1		1	PASS		n=3 PASS/PASS/PASS; guarded del must not fire; proc runs to completion
ASSERT	lifetime.spawn_pins_object	lifetime	object survives while a spawn is pending	1		1	PASS		n=3 PASS/PASS/PASS; only ref dropped, spawn still queued
ASSERT	lifetime.spawn_sees_live_src	lifetime	pending spawn wakes with src alive	ALIVE		ALIVE	PASS		n=3 PASS/PASS/PASS
ASSERT	lifetime.collected_after_spawn	lifetime	object is collected once the spawn resolves	0		0	PASS		n=3 PASS/PASS/PASS; collected 0 ticks after the spawn fired
ASSERT	numeric.eq_at_2p24	numeric	16777216 == 16777217	1		1	PASS		n=3 PASS/PASS/PASS; 16777217 is not representable and rounds down
ASSERT	numeric.increment_stalls	numeric	n+1 == n first holds at 2^24	16777216		16777216	PASS		n=3 PASS/PASS/PASS
ASSERT	numeric.loop_nonterminating	numeric	for-loop past 2^24 does not terminate	1		1	PASS		n=3 PASS/PASS/PASS; bailed via guard at i=16777216
ASSERT	numeric.loop_control_terminates	numeric	same loop below 2^24 terminates normally	21		21	PASS		n=3 PASS/PASS/PASS; control for the above
ASSERT	numeric.accumulator_saturates	numeric	accumulator saturates at 2^24	16777216		16777216	PASS		n=3 PASS/PASS/PASS; expected 18000000, lost 1222784, no error raised
ASSERT	numeric.num2text_plain_at_bound	numeric	a value at 2^24 still renders as digits	1		1	PASS		n=3 PASS/PASS/PASS; "16777216"
ASSERT	numeric.num2text_scientific_above_bound	numeric	a value above 2^24 renders in scientific notation	1		1	PASS		n=3 PASS/PASS/PASS; 16777218 renders as "1.67772e+07", not as digits
ASSERT	numeric.shift_23_ok	numeric	1 << 23	8388608		8388608	PASS		n=3 PASS/PASS/PASS; highest usable bit
ASSERT	numeric.shift_24_zero	numeric	1 << 24	0		0	PASS		n=3 PASS/PASS/PASS; mask becomes zero, not a large number
ASSERT	numeric.shift_30_zero	numeric	1 << 30	0		0	PASS		n=3 PASS/PASS/PASS
ASSERT	numeric.shift_32_wraps	numeric	1 << 32	1		1	PASS		n=3 PASS/PASS/PASS; shift count wraps
ASSERT	numeric.bitfield_23_survives	numeric	flag at bit 23 round-trips	1		1	PASS		n=3 PASS/PASS/PASS
ASSERT	numeric.bitfield_24_lost	numeric	flag at bit 24 is silently lost	0		0	PASS		n=3 PASS/PASS/PASS; zero mask: setting stores nothing, testing reads false
ASSERT	scheduler.world_tick_is_hook	scheduler	world/Tick() fires once per tick	1		1	PASS		n=3 PASS/PASS/PASS; fired 10 times over ~10 ticks
ASSERT	scheduler.wake_before_world_tick	scheduler	waking procs run before world.Tick()	1		1	PASS		n=3 PASS/PASS/PASS; wake seq 1, Tick seq 2
ASSERT	scheduler.spawn0_same_tick	scheduler	spawn(0) runs in the same tick	1		1	PASS		n=3 PASS/PASS/PASS; before 39, inside 39
ASSERT	scheduler.spawn_context_is_copy	scheduler	spawned block cannot write to the caller's locals	-1		-1	PASS		n=3 PASS/PASS/PASS; 99 would mean the context is shared, not copied
MEASURE	scheduler.parked_0	scheduler	100 ticks with 0 parked procs	49953.1	us				n=3 min=49919.9 max=49980.5 spread=0%
MEASURE	scheduler.parked_10000	scheduler	100 ticks with 10000 parked procs	50000	us				n=3 min=49890.6 max=50101.6 spread=0%
MEASURE	scheduler.parked_100000	scheduler	100 ticks with 100000 parked procs	49990.2	us				n=3 min=49968.8 max=50031.3 spread=0%
MEASURE	scheduler.waking_1000	scheduler	100 ticks with 1000 procs waking each tick	50011.7	us				n=3 min=49949.2 max=50029.3 spread=0%
MEASURE	scheduler.waking_5000	scheduler	100 ticks with 5000 procs waking each tick	50007.8	us				n=3 min=49980.5 max=50050.8 spread=0%
ASSERT	view.filter_equivalence	view	cached-then-filtered and inline-typed return identical counts	1		1	PASS		n=3 PASS/PASS/PASS; 41 vs 41 mobs; without this the timing comparison is void
MEASURE	view.build_only	view	var/list/V = view(7,c)	236	us				n=3 min=233.9 max=240.4 spread=3%
MEASURE	view.build_then_filter	view	cache list, then for(mob in V)	264.4	us				n=3 min=260.4 max=272 spread=4%
MEASURE	view.inline_typed	view	for(mob in view(7,c))	29.2	us				n=3 min=29 max=29.7 spread=2%
MEASURE	view.inline_untyped	view	for(atom in view(7,c))	385.9	us				n=3 min=351.2 max=401.9 spread=13%
ASSERT	view.twopass_equivalence	view	cached and re-queried two-pass return identical counts	1		1	PASS		n=3 PASS/PASS/PASS; 441 vs 441
MEASURE	view.twopass_cached	view	cache list, two typed loops	375.9	us				n=3 min=357.9 max=388.9 spread=8%
MEASURE	view.twopass_requery	view	call view() twice inline	218.2	us				n=3 min=203 max=229.5 spread=12%
MEASURE	view.family_view	view	for(mob in view(7,c))	29.4	us				n=3 min=26.8 max=29.5 spread=9%
MEASURE	view.family_oview	view	for(mob in oview(7,c))	28.5	us				n=3 min=26.9 max=29.8 spread=10%
MEASURE	view.family_viewers	view	for(mob in viewers(7,c))	22.2	us				n=3 min=21.9 max=25.3 spread=15%
MEASURE	view.family_range	view	for(mob in range(7,c))	11.4	us				n=3 min=11 max=13 spread=18%
MEASURE	view.radius_1	view	for(mob in view(1,c))	1.73	us				n=3 min=1.65 max=1.97 spread=18%
MEASURE	view.radius_3	view	for(mob in view(3,c))	8.22	us				n=3 min=6.87 max=8.24 spread=17%
MEASURE	view.radius_5	view	for(mob in view(5,c))	18.5	us				n=3 min=17.2 max=19.7 spread=14%
MEASURE	view.radius_7	view	for(mob in view(7,c))	29.9	us				n=3 min=28.4 max=31.2 spread=9%
MEASURE	view.radius_10	view	for(mob in view(10,c))	43.5	us				n=3 min=42.9 max=44.5 spread=4%
ASSERT	view.radius_sweep_monotonic	view	view() cost rises with radius at every step	1		1	PASS		n=3 PASS/PASS/PASS; 1:1.65 3:8.22 5:19.7 7:29.91 10:42.89 us
MEASURE	view.clutter_0_raw	view	view(7) build with 0 extra objs	237.6	us				n=3 min=235.9 max=247.3 spread=5%
MEASURE	view.clutter_0_typed	view	typed loop with 0 extra objs	30.8	us				n=3 min=29.4 max=31.3 spread=6%
MEASURE	view.clutter_300_raw	view	view(7) build with 300 extra objs	492.5	us				n=3 min=483 max=493.8 spread=2%
MEASURE	view.clutter_300_typed	view	typed loop with 300 extra objs	32.1	us				n=3 min=31.1 max=32.9 spread=6%
